extracted_symptom,linked_symptom
myocarditis,Myocarditis
Pain,Pain
burning sensation,Burning sensation
Breakthrough COVID infection,Infection
chest pain,Chest pain
dry cough,Cough
fatigue,Fatigue
a scratchy throat,Scratch
COVID-19 breakthrough,Breakthrough COVID-19
sneezing,Sneezing
No adverse event,No adverse event
numbness,Apathy
weakness,Injection site muscle weakness
general malaise,Malaise
redness,Inflammation
pain in left shoulder,Pain
flank pain (right side),Flank pain
lower back pain,Back pain
inflammation,Inflammation
symptoms,Lower urinary tract symptoms
injury),Injury
aches,Computerised tomogram spine
some headaches,Headache
rotator cuff injury,Injury
moderate joint effusion,Effusion
some lumbar spinal disk herniation,Hernia
swelling,Swelling
joint pain,Pain
tingling in fingers Muscle pain,Pain
muscle fatigue,Muscle fatigue
sinus infection,Infection
SINUSITIS,Sinusitis
lightheaded,Pupillary light reflex tests abnormal
Shoulder Joint Injury,Injury
prolonged pain,Pain
Redness,Inflammation
tingling,Tic
Swelling,Swelling
Pain,Pain
paralysis,Paralysis
erythemato-papular rash,Erythema
these rashes,Rash
a widespread rash on my back,Rash
a large rash,Rash
urticaria,Urticaria
recurring skin rashes,Rash
specific skin rashes,Rash
This rash,Rash
Symptoms,Lower urinary tract symptoms
eczema,Eczema
a severe rash,Rash
the same red bumpy rash,Rash
rashes,Rash
PRODUCT TEMPERATURE EXCURSION ISSUE,Product temperature excursion issue
No adverse event,No adverse event
Hyperglycemia,Hyperglycaemia
fever,Pyrexia
pain,Pain
chills,Chills
status epilepticus,Tic
Generalized idiopathic epilepsy,Epilepsy
COVID-19 pneumonia,COVID-19 pneumonia
saddle pulmonary embolism,Pulmonary embolism
SYMPTOMS,Lower urinary tract symptoms
a random pain,Pain
headaches,Headache
an intense sharp pain,Pain
intense pain,Pain
symptoms,Lower urinary tract symptoms
adverse reactions,Adverse reaction
acute illness,Illness
chronic inflammation,Inflammation
allergic reaction,Allergic reaction to excipient
rhinitis,Rhinitis
uveitis,Uveitis
Insomnia,Insomnia
severe asthma,Asthma
No adverse event,No adverse event
lightheaded,Pupillary light reflex tests abnormal
flutters,Gait disturbance
fatigue,Fatigue
Infection,Infection
anxiety,Anxiety
heart race,Heart rate
pains,Pain
Intense Pelvis Pain,Pain
dizziness,Dizziness
3 nodules in right lung,Nodule
fever,Pyrexia
Tuberculosis,Tuberculosis
Hepatitis,Hepatitis
inflammation,Inflammation
chronic fatigue,Fatigue
pain in my left arm,Pain
nodules,Nodule
numbness,Apathy
chest pain,Chest pain
Abrasion,Skin abrasion
fever,Pyrexia
headaches,Headache
Closed head injury,Head injury
abdominal pain,Abdominal pain
tingling,Tic
Hypoxia,Hypoxia
Acute COVID-19,COVID-19
stress to my system,Stress
Hyperacusis,Hyperacusis
Tinnitus,Tinnitus
Fluttering heart rate,Heart rate
extremely fatigued,Fatigue
a terrible headache,Headache
fever,Pyrexia
headaches,Headache
a burning sensation in my leg muscles,Burning sensation
The headache,Headache
vomiting,Vomiting
any adverse reaction,Adverse reaction
tinnitus in their ears,Tinnitus
an adverse reaction,Adverse reaction
TINNITUS,Tinnitus
tinnitus,Tinnitus
delayed ovulation,Ovulation delayed
ovulation,Ovulation delayed
any anxiety,Anxiety
a panic attack,Panic attack
delusions,Delusion
homicidal ideation,Homicidal ideation
anxiety,Anxiety
visual hallucinations,"Hallucination, visual"
auditory or visual hallucinations,Hallucination
fatigue,Fatigue
bumps,Swelling
anxiety,Anxiety
The rash,Rash
itching,Muscle twitching
rash,Rash
rapid weight loss,Weight
stomach pain,Pain
Fever,Pyrexia
slight cough,Cough
allergies,Allergy test
adverse drug event,Adverse event
anemia,Anaemia
ADR,Adrenal disorder
HTN,Muscle tightness
dysphagia,Dysphagia
death,Death
CAD,Wheelchair user
death,Death
NEOPLASM MALIGNANT (death,Neoplasm malignant
cancer,Breast cancer female
Death,Death
pulsatile tinnitus,Tinnitus
pain in left ear,Pain
Pulsating and tinnitus,Tinnitus
tinnitus,Tinnitus
HTN,Muscle tightness
CAD,Wheelchair user
ADVERSE EVENT,Adverse event
Adverse event,Adverse event
dry cough,Cough
headache,Headache
fever,Pyrexia
more intense fatigue,Fatigue
fatigue,Fatigue
headaches,Headache
horrible headaches,Headache
the fatigue,Fatigue
migraine,Migraine
chest pain,Chest pain
breast tenderness,Breast tenderness
fever,Pyrexia
sudden,Sudden cardiac death
nauseous,Nausea
chills,Chills
dizziness,Dizziness
soreness,Tenderness
appetite,Appetite disorder
left calf pain,Pain
dry mouth,Dry mouth
fatigue,Fatigue
pain,Pain
diarrhea,Diarrhoea
pain in calf,Pain
No adverse event,No adverse event
fatigue,Fatigue
fluid retention,Fluid retention
CAD,Wheelchair user
OSA,Adiposis dolorosa
atrial fibrillation,Atrial fibrillation
AKI,Pollakiuria
No adverse event,No adverse event
illness,Illness
breakthrough COVID-19 disease,Breakthrough COVID-19
symptomatic,Asymptomatic COVID-19
fatigue,Fatigue
septic,Septic encephalopathy
respiratory failure,Respiratory failure
death,Death
encephalopathy,Encephalopathy
weakness,Injection site muscle weakness
symptoms,Lower urinary tract symptoms
wild swings in heart rate,Heart rate
migraines,Migraine
an electrical shock,Shock
palpitations,Palpitations
adverse events,Adverse event
adverse event,Adverse event
any acute illness,Illness
ADVERSE EVENT,Adverse event
lingering malaise,Malaise
continous cough,Cough
the cough,Cough
continuous cough in upper chest,Cough
cough,Cough
Covid 19,COVID-19
HTN,Muscle tightness
n/v,Genital infection viral
abd pain,Pain
myalgias,Myalgia
DM,Diabetes mellitus
CAD,Wheelchair user
swollen,Swollen tongue
the pain,Pain
coughing,Cough
congestion,Ear congestion
irregular,Heart rate irregular
torn,Aortic rupture
moderate pleural effusion,Effusion
ADVERSE EVENT,Adverse event
adverse event,Adverse event
generalized fatigue,Fatigue
increased hypotension,Hypotension
spasms,Muscle spasms
low heart rate,Heart rate
severe muscle spasms,Muscle spasms
chest pain,Chest pain
NASAL CONGESTION,Nasal congestion
FEVER,Pyrexia
FATIGUE,Fatigue
DRY COUGH,Cough
CHILLS,Chills
Atrophy of the muscles in my legs,Atrophy
retching,Retching
unstable,Amniotic fluid volume increased
numbness,Apathy
weakness,Injection site muscle weakness
chest pain,Chest pain
anxiety,Anxiety
Extreme unexplained anxiety,Anxiety
extreme fatigue,Fatigue
dizziness,Dizziness
Numbness,Apathy
squeezing,Pericarditis constrictive
weakness fatigue,Fatigue
nausea,Nausea
tingling,Tic
burning,Burning mouth syndrome
Extreme pain in arms and  legs,Pain
No adverse event,No adverse event
PYREXIA,Pyrexia
VACCINATION SITE ERYTHEMA,Vaccination site erythema
fever,Pyrexia
VACCINATION SITE INDURATION,Vaccination site induration
Fever,Pyrexia
No adverse event,No adverse event
tired,Fatigue
malaise,Malaise
fatigue,Fatigue
CYST,Cyst
"cysts on his hand and wrist""",Cyst
cysts on his hand and wrist,Cyst
dyspnea,Dyspnoea
HTN,Muscle tightness
CAD,Wheelchair user
mild respiratory distress,Respiratory distress
cancer related pain,Pain
anxiety,Anxiety
hypercalcemia,Hypercalcaemia
right neck abscesses,Abscess
bleeding,Bleeding anovulatory
cancer,Breast cancer female
asthma,Asthma
polyuria,Polyuria
HTN,Muscle tightness
NV,Investigation
nausea,Nausea
CHF sarcoidosis,Sarcoidosis
DM,Diabetes mellitus
left lower back and left lower quadrant abdominal pain,Abdominal pain
nasal congestion,Nasal congestion
productive cough,Productive cough
adverse events,Adverse event
the Inflammation,Inflammation
inflammation,Inflammation
strokes,Accident
nerve pain,Pain
diarrhea,Diarrhoea
distress,Acute respiratory distress syndrome
brain death,Brain death
cough,Cough
rash,Rash
swollen,Swollen tongue
numb,Product lot number issue
pain,Pain
numbness,Apathy
pain in both arms,Pain
very pain,Pain
asthma,Asthma
HTN,Muscle tightness
pain,Pain
New comminuted fracture of the right hemipelvis,Comminuted fracture
a mechanical fall,Fall
Comminuted fracture of the left iliac wing,Comminuted fracture
breast CA,Breast cancer female
cough,Cough
tinnitus,Tinnitus
lesions,Wound
edema,Oedema
rashes,Rash
Paroxysmal atrial fibrillation,Atrial fibrillation
the Covid-19 infection,COVID-19
distress,Acute respiratory distress syndrome
Acute metabolic encephalopathy,Metabolic encephalopathy
UTI,Therapeutic procedure
adenopathy,Hilar lymphadenopathy
E coli,Clostridium difficile colitis
adverse reaction,Adverse reaction
redness near injection site,Injection
headache,Headache
fever,Pyrexia
chest pains,Chest pain
fatigue,Fatigue
chills,Chills
generally fatigued,Fatigue
hot and cold sweats,Cold sweat
chest pain,Chest pain
Chest pains,Chest pain
The chest pains,Chest pain
pericarditis,Pericarditis
myocarditis,Myocarditis
dizziness,Dizziness
Medication error,Medication error
headache,Headache
lightheaded,Pupillary light reflex tests abnormal
achy,Atrial tachycardia
fever,Pyrexia
weak,Injection site muscle weakness
sore,Abdominal tenderness
aches,Computerised tomogram spine
Fever,Pyrexia
Headache,Headache
No adverse event,No adverse event
still coughing,Cough
fatigue,Fatigue
cough,Cough
Chest pain,Chest pain
my chest pain,Chest pain
laryngitis,Laryngitis
adverse events,Adverse event
GUILLAIN-BARRE SYNDROME,Guillain-Barre syndrome
No adverse event,No adverse event
fever,Pyrexia
chills,Chills
covid-19 pneumonia,COVID-19 pneumonia
Symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
No adverse event,No adverse event
SARS,Exposure to SARS-CoV-2
Weakness,Injection site muscle weakness
COUGH (Cough),Neurogenic cough
ASTHENIA (Weakness generalized),Asthenia
ASTHENIA (Weakness generalized) outcome,Asthenia
Cough,Cough
ASTHENIA,Asthenia
covid pneumonia,COVID-19 pneumonia
increased heart rate,Heart rate increased
lightheadedness,Vertigo
inflammation,Inflammation
dizziness,Dizziness
No adverse event,No adverse event
No adverse event,No adverse event
insomnia,Insomnia
delayed muscle inflammation,Inflammation
phlebitis,Phlebitis
chills,Chills
neuropathy,Acute motor axonal neuropathy
Symptoms,Lower urinary tract symptoms
mental fatigue,Fatigue
extreme fatigue,Fatigue
tinnitus,Tinnitus
chest pain,Chest pain
Bilateral tenosynovitis,Synovitis
URIs,Pleurisy
a rash,Rash
COVID19 infection,Infection
HTN,Muscle tightness
reaction,Adverse drug reaction
an adverse reaction,Adverse reaction
This rash,Rash
chills,Chills
scratching,Scratch
hives,Urticaria
this rash,Rash
episodic tachycardia,Tachycardia
fevers,Pyrexia
reactions,Adverse drug reaction
confused,Clostridium difficile colitis
ACCIDENTAL UNDERDOSE (Immunocompromised,Accident
Cancer,Breast cancer female
No adverse event,No adverse event
No adverse event,No adverse event
headache,Headache
severe left knee pain,Pain
Stomach distress,Stress
gastritis,Gastritis
nausea,Nausea
lung pain,Pain
chills,Chills
joint pain,Pain
Symptoms,Lower urinary tract symptoms
symptoms,Lower urinary tract symptoms
daily chills,Chills
sometimes sneezing,Sneezing
cough,Cough
a sore injection site,Injection
VACCINATION SITE PAIN,Vaccination site pain
a sore injection site arm,Injection
VACCINATION FAILURE,Vaccination failure
vaccination failure,Vaccination failure
symptoms,Lower urinary tract symptoms
fever,Pyrexia
nauseous,Nausea
chills,Chills
vertigo,Vertigo
numbness,Apathy
cold sweats,Cold sweat
disorientation,Disorientation
new onset Atrial fibrillation,Atrial fibrillation
pleural effusions,Pleural effusion
acute dizziness,Dizziness
fatigue,Fatigue
dental pain,Pain
a fall,Fall
pain,Pain
site pain,Infusion site pain
No adverse event,No adverse event
a terrible headache,Headache
coughing,Cough
fluid in my cough,Cough
joint pain,Pain
No adverse event,No adverse event
acute renal failure,Renal failure
orthopnea,Orthopnoea
dyspnea,Dyspnoea
COVID pneumonia,COVID-19 pneumonia
COVID,Asymptomatic COVID-19
A SEIZURE,Seizure
THE LOSS OF CONSCIOUSNESS,Loss of consciousness
No adverse event,No adverse event
No adverse event,No adverse event
fatigue,Fatigue
hypertension,Hypertension
Troponin-T high sensitivity positive,Troponin
COVID pneumonia,COVID-19 pneumonia
hyperlipidemia,Hyperlipidaemia
sepsis,Sepsis
chills,Chills
pneumonia,Pneumonia
nasal congestion,Nasal congestion
cough,Cough
Covid +,Asymptomatic COVID-19
appetite,Appetite disorder
cough,Cough
two Atrial-Fibrillation,Atrial fibrillation
stress,Stress
FEELING ABNORMAL,Feeling abnormal
DECREASED APPETITE (loss of appetite,Decreased appetite
MYALGIA (sore arm) outcome,Myalgia
cramps,Blepharospasm
dizziness,Dizziness
DIZZINESS,Dizziness
MYALGIA (sore arm),Myalgia
FATIGUE (exhaustion/Tired),Fatigue
ABDOMINAL DISCOMFORT,Abdominal discomfort
Tired,Fatigue
MUSCLE SPASMS,Muscle spasms
STRESS (stress),Cardiac stress test
No adverse event,No adverse event
No adverse event,No adverse event
His dizziness,Dizziness
dehydration,Dehydration
COVID,Asymptomatic COVID-19
orthostatic hypotension,Orthostatic hypotension
Presyncope,Presyncope
cough,Cough
incredibly severe chest pain,Chest pain
the chest pain,Chest pain
cold,Cold sweat
This insane chest pain,Chest pain
shaking,Palpitations
covid-19 infection,COVID-19
COVID-19 INFECTION,COVID-19
Covid pneumonia,COVID-19 pneumonia
HTN,Muscle tightness
hypoxic,Hypoxic-ischaemic encephalopathy
PE,Alopecia
an aspiration event,Aspiration
No adverse event,No adverse event
open wounds in mouth,Wound
Transient lingual papillitis,Transient lingual papillitis
rash,Rash
Dizziness,Dizziness
migraines,Migraine
drastic increase in headaches,Headache
vertigo,Vertigo
blurred vision,Vision blurred
swelling under left arm toward breast,Swelling
pain,Pain
swelling above left elbow,Swelling
Pain,Pain
dyspnea,Dyspnoea
hypertension,Hypertension
hypoxic,Hypoxic-ischaemic encephalopathy
greatly reduced systolic dysfunction,Systolic dysfunction
atrial fibrillation,Atrial fibrillation
severe aortic stenosis,Tic
leukopenia,Leukopenia
lung mass,Mass
metastatic disease,Tic
mild neutropenia,Neutropenia
fever,Pyrexia
increased nodules,Nodule
thrombocytopenia,Thrombocytopenia
Death,Death
increased left upper lobe mass,Mass
dehydration,Dehydration
malnutrition,Malnutrition
New right lower lobe nodules,Nodule
fatigue,Fatigue
malaise,Malaise
UTI,Therapeutic procedure
fevers,Pyrexia
new left sided effusions,Effusion
cough,Cough
dilated cardiomyopathy,Cardiomyopathy
type II diabetes mellitus,Diabetes mellitus
morbid obesity,Obesity
confusion,Confusional state
Severe fatigue,Fatigue
muscle and joint pain,Pain
pain in all trigger points,Pain
chills,Chills
cold,Cold sweat
joint pain,Pain
swelling,Swelling
vertigo,Vertigo
lightheaded,Pupillary light reflex tests abnormal
vomiting,Vomiting
fatigue,Fatigue
the dizziness,Dizziness
falls,Fall
the fatigue,Fatigue
fatigue,Fatigue
congestion,Ear congestion
smell,Bile duct stone
vaccination failure,Vaccination failure
Cough,Cough
No adverse event,No adverse event
No adverse event,No adverse event
headaches,Headache
fatigue,Fatigue
swelling lymph nodes,Swelling
Pain at injection site,Injection site pain
fibromyalgia,Fibromyalgia
somnolence,Somnolence
night sweats,Night sweats
Nausea,Nausea
Night sweats,Night sweats
MALAISE,Malaise
FATIGUE,Fatigue
"Profound fatigue""",Fatigue
decreased appetite,Decreased appetite
dizziness,Dizziness
DIZZINESS,Dizziness
NIGHT SWEATS,Night sweats
Dizziness,Dizziness
DECREASED APPETITE,Decreased appetite
symptoms,Lower urinary tract symptoms
Profound fatigue,Fatigue
arthritis,Arthritis
NAUSEA,Nausea
fatigue,Fatigue
nausea,Nausea
malaise,Malaise
headache,Headache
congestion,Ear congestion
a progressive cough,Cough
pain,Pain
gas,Blood gases
a dry throat,Dry throat
bruises,Contusion
a dry cough,Cough
Pain,Pain
VACCINATION SITE PAIN,Vaccination site pain
vaccination site pain,Vaccination site pain
abdominal pain,Abdominal pain
vomiting,Vomiting
headache,Headache
soreness,Tenderness
fatigue,Fatigue
congestion,Ear congestion
Purpura,Purpura
cough,Cough
nasal discharge,Discharge
coughing,Cough
sneezing,Sneezing
temperature excursion,Product temperature excursion issue
Plaque psoriasis,Psoriasis
DEPRESSED MOOD,Depressed mood
psoriasis,Psoriasis
SOMNOLENCE,Somnolence
Headache,Headache
Chills,Chills
thrombotic complications,Tic
COVID-19 infection,COVID-19
chronic hypercarbic respiratory failure,Chronic respiratory failure
Acute Hypoxic Respiratory Failure,Acute respiratory failure
joint pain,Pain
multiple tendonitis issues,Tendonitis
respiratory distress,Respiratory distress
bacteremia,Bacteraemia
Death,Death
Hypertension,Hypertension
"hypothyroidism""",Hypothyroidism
No adverse event,No adverse event
ACNE PUSTULAR (non-serious),Acne
MASS,Mass
a rash,Rash
RASH,Rash
asthma,Asthma
bronchitis,Bronchitis
My fatigue,Fatigue
pneumonia,Pneumonia
cardiomegaly,Cardiomegaly
myocarditis,Myocarditis
viral infection,Viral infection
No adverse event,No adverse event
severe bronchitis,Bronchitis
coughing,Cough
phlegm,Lethargy
the cough,Cough
cough,Cough
COVID,Asymptomatic COVID-19
productive cough,Productive cough
pulmonary emboli,Pulmonary embolism
cough,Cough
COVID respiratory failure,Respiratory failure
hypoxic,Hypoxic-ischaemic encephalopathy
inflammation,Inflammation
septic shock,Septic shock
COVID,Asymptomatic COVID-19
bacterial sepsis,Sepsis
IMMUNISATION REACTION,Immunisation reaction
Rheumatoid arthritis,Rheumatoid arthritis
Hypertension,Hypertension
Diabetes,Diabetes mellitus
Diabetes mellitus,Diabetes mellitus
Hypothyroidism,Hypothyroidism
Accelerated heart rate,Heart rate
dizziness,Dizziness
fatigue,Fatigue
Small scratch,Scratch
chest pains,Chest pain
neck pain,Neck pain
the chest pain,Chest pain
arm pain,Pain
the chest pains,Chest pain
chest pain,Chest pain
fever,Pyrexia
emesis,Haematemesis
pericarditis,Pericarditis
chest pain,Chest pain
vaccination site pain,Vaccination site pain
"Diabetes""",Diabetes mellitus
cataracts,Cataract
cataract,Cataract
Cataracts in both eyes,Cataract
Cataracts,Cataract
her cataracts,Cataract
VACCINATION SITE PAIN,Vaccination site pain
